"(0,0)","(0,1)","(0,2)","(0,3)","(0,4)","(0,5)","(1,0)","(1,1)","(1,2)","(1,3)","(1,4)","(1,5)","(2,0)","(2,1)","(2,2)","(2,3)","(2,4)","(2,5)","(3,0)","(3,1)","(3,2)","(3,3)","(3,4)","(3,5)","(4,0)","(4,1)","(4,2)","(4,3)","(4,4)","(4,5)","(5,0)","(5,1)","(5,2)","(5,3)","(5,4)","(5,5)"
11.361,0.0,10.248,9.1377,9.0226,10.176,9.7554,7.2471,8.9405,9.4979,0.0,7.8255,8.3126,6.9574,6.7956,8.3206,9.2532,8.2502,6.9260,5.8514,5.7374,6.2105,8.0942,9.1350,5.6937,0.0,0.0,0.0,6.0840,7.8814,4.3523,3.1995,3.8192,4.7934,5.7822,6.7471
12.247,0.0,11.035,9.9215,9.8065,10.960,10.641,8.1325,9.7343,10.250,0.0,8.6095,9.1980,7.8403,7.5934,9.0711,9.9691,8.9676,7.8086,6.7239,6.5362,6.9592,8.8078,9.8319,6.5728,0.0,0.0,0.0,6.7932,8.5775,5.2171,4.0406,4.5126,5.4886,6.4785,7.4425
13.125,0.0,11.815,10.697,10.582,11.736,11.518,9.0094,10.520,10.998,0.0,9.3856,10.074,8.7156,8.3838,9.8172,10.681,9.6812,8.6835,7.5897,7.3286,7.7034,9.5178,10.523,7.4458,0.0,0.0,0.0,7.4974,9.2686,6.0821,4.8920,5.2005,6.1777,7.1684,8.1315
13.994,0.0,12.586,11.465,11.351,12.505,12.387,9.8778,11.298,11.742,0.0,10.154,10.943,9.5826,9.1668,10.558,11.390,10.390,9.5504,8.4516,8.1140,8.4430,10.224,11.210,8.3116,0.0,0.0,0.0,8.1979,9.9547,6.9435,5.7457,5.8824,6.8605,7.8521,8.8154
14.854,0.0,13.349,12.225,12.111,13.265,13.247,10.737,12.068,12.480,0.0,10.914,11.803,10.441,9.9423,11.294,12.094,11.096,10.409,9.3093,8.8927,9.1778,10.926,11.893,9.1696,0.0,0.0,0.0,8.8946,10.636,7.7990,6.5969,6.5583,7.5372,8.5308,9.4942
15.705,0.0,14.104,12.978,12.864,14.019,14.099,11.588,12.831,13.212,0.0,11.667,12.654,11.292,10.710,12.025,12.795,11.797,11.260,10.159,9.6645,9.9076,11.625,12.570,10.019,0.0,0.0,0.0,9.5874,11.313,8.6475,7.4430,7.2280,8.2087,9.2045,10.168
16.548,0.0,14.852,13.723,13.610,14.764,14.942,12.431,13.586,13.939,0.0,12.413,13.497,12.135,11.470,12.751,13.492,12.493,12.102,11.001,10.429,10.632,12.319,13.244,10.861,0.0,0.0,0.0,10.276,11.985,9.4886,8.2825,7.8925,8.8753,9.8737,10.837
17.383,0.0,15.592,14.461,14.348,15.502,15.776,13.266,14.333,14.661,0.0,13.151,14.331,12.969,12.224,13.471,14.185,13.186,12.937,11.836,11.186,11.351,13.010,13.912,11.696,0.0,0.0,0.0,10.961,12.653,10.322,9.1149,8.5520,9.5373,10.538,11.502
18.209,0.0,16.324,15.192,15.079,16.233,16.602,14.092,15.073,15.377,0.0,13.882,15.157,13.795,12.970,14.186,14.874,13.874,13.763,12.662,11.937,12.065,13.696,14.577,12.522,0.0,0.0,0.0,11.641,13.316,11.147,9.9398,9.2068,10.194,11.198,12.163
19.027,0.0,17.048,15.915,15.802,16.956,17.420,14.910,15.806,16.087,0.0,14.605,15.975,14.613,13.708,14.895,15.558,14.557,14.581,13.479,12.680,12.773,14.377,15.236,13.339,0.0,0.0,0.0,12.318,13.975,11.965,10.756,9.8572,10.847,11.854,12.819
